time,end,type,sc_id,source,orbit,description
2020-06-17/21:51:23,2020-06-17/21:53:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:48:53,2020-06-17/21:51:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:46:23,2020-06-17/21:48:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:43:53,2020-06-17/21:46:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:41:23,2020-06-17/21:43:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:38:53,2020-06-17/21:41:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:36:33,2020-06-17/21:38:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:34:03,2020-06-17/21:36:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:31:33,2020-06-17/21:34:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:29:03,2020-06-17/21:31:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:26:33,2020-06-17/21:29:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:24:03,2020-06-17/21:26:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:21:33,2020-06-17/21:24:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:19:03,2020-06-17/21:21:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:16:33,2020-06-17/21:19:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:14:03,2020-06-17/21:16:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:11:33,2020-06-17/21:14:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:09:13,2020-06-17/21:11:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:06:43,2020-06-17/21:09:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:04:13,2020-06-17/21:06:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/21:01:43,2020-06-17/21:04:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:59:13,2020-06-17/21:01:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:56:43,2020-06-17/20:59:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:54:13,2020-06-17/20:56:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:51:43,2020-06-17/20:54:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:49:13,2020-06-17/20:51:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:46:43,2020-06-17/20:49:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:44:13,2020-06-17/20:46:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:41:53,2020-06-17/20:44:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:39:23,2020-06-17/20:41:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:36:53,2020-06-17/20:39:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:34:23,2020-06-17/20:36:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:31:53,2020-06-17/20:34:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/20:29:23,2020-06-17/20:31:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/19:45:00,2020-06-17/20:35:00,dsn_contact,mms1,Timeline,1119,null
2020-06-17/19:17:13,2020-06-17/19:18:13,burst_segment,mms,Burst,1119,FPI Burst Cal - Segment 2 (1119) - A3 - MSP
2020-06-17/17:58:33,2020-06-17/18:01:03,burst_segment,mms,Burst,1119,Boundary layer
2020-06-17/17:56:03,2020-06-17/17:58:33,burst_segment,mms,Burst,1119,Boundary layer
2020-06-17/17:55:00,2020-06-17/19:30:00,dsn_contact,mms4,Timeline,1119,null
2020-06-17/17:53:43,2020-06-17/17:56:03,burst_segment,mms,Burst,1119,Boundary layer
2020-06-17/17:51:13,2020-06-17/17:53:43,burst_segment,mms,Burst,1119,Boundary layer
2020-06-17/16:56:22,2020-06-18/10:59:06,SROI,mms4,POC,1119,null
2020-06-17/16:56:13,2020-06-18/10:58:56,SROI,mms3,POC,1119,null
2020-06-17/16:56:12,2020-06-18/10:58:50,SROI,mms2,POC,1119,null
2020-06-17/16:56:06,2020-06-18/10:58:51,SROI,mms1,POC,1119,null
2020-06-17/16:56:06,2020-06-18/10:58:51,sitl_report,mms,SITL,1119,"Flank ROI with a long period of active KH waves selected.  Some additional Boundary layer, partial, and full MP crossings."
2020-06-17/16:43:53,2020-06-20/16:43:53,sitl_window,mms,BDM,1119,null
2020-06-17/16:05:00,2020-06-17/17:40:00,dsn_contact,mms3,Timeline,1119,null
2020-06-17/14:15:00,2020-06-17/15:50:00,dsn_contact,mms2,Timeline,1119,null
2020-06-17/11:15:00,2020-06-17/12:50:00,dsn_contact,mms1,Timeline,1119,null
2020-06-17/09:10:00,2020-06-17/11:00:00,dsn_contact,mms4,Timeline,1119,null
2020-06-17/07:10:00,2020-06-17/09:00:00,dsn_contact,mms3,Timeline,1119,null
2020-06-17/05:23:53,2020-06-17/05:26:13,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:21:33,2020-06-17/05:23:53,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:19:13,2020-06-17/05:21:33,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:16:53,2020-06-17/05:19:13,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:14:33,2020-06-17/05:16:53,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:12:13,2020-06-17/05:14:33,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:09:53,2020-06-17/05:12:13,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:07:33,2020-06-17/05:09:53,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:05:13,2020-06-17/05:07:33,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/05:05:00,2020-06-17/06:55:00,dsn_contact,mms2,Timeline,1119,null
