times,n,Tpara,Tperp
1592434316.9286468,1.6489869,259.65012,248.9662
1592431531.839084,1.1914897,379.61685,460.51447
1592427818.836222,1.1591601,486.46228,427.01068
1592429517.010421,1.2472553,196.14467,165.09769
1592434748.1847749,1.0436257,435.74222,340.84525
1592431543.539264,1.1304371,343.43033,465.83444
1592434360.729272,1.4840026,245.93008,300.2136
1592431422.937544,1.2733874,230.90819,242.73378
1592430086.418537,1.6588053,230.29012,180.50563
1592433427.86603,1.2135131,421.5187,371.60785
1592427803.236009,1.2668756,458.7444,392.25897
1592426800.021686,0.8576094,405.11307,425.6555
1592434752.2348318,0.9417947,477.7686,382.71066
1592434613.032845,0.8091636,454.56155,413.3772
1592427244.9280362,1.0060554,467.67532,381.66367
1592426969.524112,1.2551103,450.3281,512.3965
1592428260.742524,0.9817552,728.1966,598.291
1592434295.6283488,1.6499336,218.72388,224.45407
1592426877.7228,0.98133385,381.14966,417.0984
1592427825.7363222,1.1445014,483.10635,406.46918
1592430383.722764,1.7798667,193.40236,175.17055
1592430613.226037,1.0643427,410.41473,400.6017
1592426278.0142348,1.1172414,351.65775,422.9328
1592425923.109181,0.8787793,771.85815,643.39636
1592431547.28932,0.964673,448.92194,511.67282
1592432665.25521,1.0867242,276.05252,275.9007
1592428531.496387,1.139733,474.06525,433.09494
1592428602.147399,2.8472607,153.90518,135.47664
1592429517.160435,1.2742958,185.16197,202.46327
1592425897.908809,1.2811265,510.01685,474.37646
1592427617.5333571,0.898113,294.31122,240.58127
1592433577.56816,1.5852576,194.88832,206.78928
1592426135.512208,1.0163417,400.61343,348.79294
1592428694.69871,0.93538606,436.68997,416.83444
1592428514.996144,0.7650761,693.76135,636.86993
1592434318.128675,1.7101551,245.16394,225.26666
1592430476.124087,1.4583411,226.22386,264.91504
1592430880.079835,1.7532738,110.79448,128.139
1592433761.020758,1.2640461,462.301,377.04727
1592428756.199594,1.0955839,410.95093,425.40784
1592432757.056502,5.1671133,63.386925,57.165165
1592428660.798225,1.4419519,257.4757,280.00653
1592430185.269946,2.0046718,174.09686,162.20323
1592431542.489249,1.1074557,428.2275,548.88196
1592426085.111477,1.1671486,431.13678,341.6351
1592426494.917334,1.0586095,538.7774,608.10376
1592431575.189719,0.96753514,461.86154,445.60556
1592433565.567989,1.8510913,164.71826,168.36569
1592434377.9795132,1.0527256,234.82954,244.37311
1592428594.1972852,1.7753004,214.94406,228.04628
1592426135.362208,0.9629915,411.36783,335.17212
1592432768.156672,4.3416843,153.60062,74.43979
1592431408.837344,1.4187608,198.85063,183.9822
1592430414.9232051,1.3843936,253.11256,225.81255
